what are bigos?	["Stew"]	["Polish food"]
what province is toronto in ( 7 letters )?	["Ontario"]	["Canada", "Ontario"]
where does the city of paris get its name?	["Parisii"]	["Seine", "Tour Triangle"]
who were alexander graham bell's siblings?	["Chichester Bell", "Melville James Bell"]	["Businessperson", "Professor", "Inventor", "Physicist", "Scientist", "Engineer", "Entrepreneur"]
what type of cancer did larry hagman have?	["Head and neck cancer", "Cancer", "Leukemia"]	["Cancer", "Leukemia", "Head and neck cancer"]
where did robert kardashian go to college?	["University of San Diego", "University of San Diego School of Law", "University of Southern California"]	["University of San Diego", "University of Southern California", "University of San Diego School of Law"]
what did whoopi goldberg won a grammy for?	["Grammy Award for Best Comedy Album"]	["Sister Act", "Corrina, Corrina", "Ghost", "Thoroughly Modern Millie", "The View", "The Color Purple", "Boys on the Side", "Made in America", "Whoopi Goldberg - Original Broadway Show Recording", "The Color Purple", "Beyond Tara: The Extraordinary Life of Hattie McDaniel"]
what is the government system of malaysia?	["Parliamentary system", "Federal monarchy", "Federation", "Constitutional monarchy", "Elective monarchy"]	["Constitutional monarchy", "Democracy", "Elective monarchy", "Parliamentary system"]
who plays stacey in the stacy's mom video?	["Lacey Turner"]	["Grand Master"]
who won the michigan ohio state game 2012?	["Ohio State Buckeyes football"]	["Ohio State Buckeyes football", "Ohio State Buckeyes men's basketball", "Ohio State Buckeyes Softball"]
when did michael jordan return to the nba?	["2001\u201302 NBA season"]	["1997\u201398 NBA season", "1986\u201387 NBA season", "1996\u201397 NBA season", "1995\u201396 NBA season", "1992\u201393 NBA season", "1991\u201392 NBA season", "1990\u201391 NBA season", "1987\u201388 NBA season", "1984\u201385 NBA season"]
what language did the sioux indians speak?	["Sioux language", "French Language", "English Language"]	["English Language", "French Language", "Sioux language"]
where is the ellen degenerous show filmed?	["Beverly Hills"]	["Finding Nemo", "EDtv", "Dr. Dolittle", "Coneheads", "The Love Letter", "Arduous Moon", "Pauly Shore Is Dead", "Mr. Wrong", "Goodbye Lover", "Reaching Normal", "My Short Film", "If These Walls Could Talk 2", "Finding Dory", "Trevor"]
who is eli whitney and what did he invent?	["Cotton gin"]	["Inventor", "Engineer"]
who plays ken barlow in coronation street?	["Tony Warren"]	["Vicky Entwistle", "Ryan Thomas", "Tina O'Brien", "William Roache", "Adam Booth", "Betty Driver", "Eileen Derbyshire", "Bruno Langley", "Dawn Acton", "Jack Watson", "Craig Charles", "Ian McKellen", "Sam Aston", "Joseph Aston", "Bill Tarmey", "Anne Kirkbride", "Sasha Behar", "Barbara Knox", "Alan Halsall", "Malcolm Hebden", "Alex Bain", "Jean Alexander", "Sue Nicholls", "Johnny Briggs", "Chris Gascoyne", "Antony Cotton", "Helen Flanagan", "Laura Crossley", "Oscar Hartley", "Jack P. Shepherd", "Gerald Sim", "Beverley Callard", "Amy Walton", "Michael Le Vell", "Samia Ghadie", "Jake Hartley", "Jane Danson", "Simon Gregson", "Julie Hesmondhalgh", "Katherine Kelly", "Tracie Bennett", "Helen Worth", "Harry McDermott", "Mia Cookson", "Sue Cleaver", "Doris Speed", "Emily Walton"]
what part did jeff conaway play in grease?	["Kenickie Murdoch"]	["Jennifer on My Mind", "Delta County, U.S.A.", "Pete's Dragon", "Grease", "Bikini Summer 2", "Dante's Inferno Animated", "The Eagle Has Landed", "Making of a Male Model", "Babylon 5: Thirdspace", "Jawbreaker", "Bay Cove", "Wrestling", "Shadow of Doubt", "Dante's Inferno: Abandon All Hope", "Dark Games", "Living the Dream", "Babylon 5: A Call to Arms", "Dickie Roberts: Former Child Star", "The Banker", "Curse of the Forty-Niner", "Almost Pregnant", "The Sleeping Car", "Elvira: Mistress of the Dark", "For the Love of It", "Sunset Strip", "Do You Wanna Know a Secret?", "The Utah Murder Project", "The Patriot", "Y.M.I.", "Ladron Thief", "Eye of the Storm", "LA Goddess", "Babylon 5: The River of Souls", "Alien Intruder", "Tale of Two Sisters", "Total Exposure", "Dumb Luck in Vegas", "The Dirty Dozen: The Fatal Mission"]
what language do people from bosnia speak?	["Croatian language", "Bosnian language", "Serbian language"]	["Serbo-Croatian", "Serbian language"]
which airport to fly into in buenos aires?	["Aeroparque Jorge Newbery", "Ministro Pistarini International Airport", "Don Torcuato Airport"]	["Ministro Pistarini International Airport", "Aeroparque Jorge Newbery", "Don Torcuato Airport"]
what books are written by suzanne collins?	["Gregor and the Prophecy of Bane", "Gregor and the Marks of Secret", "FIRE PROOF", "Gregor and the Code of Claw", "The Underland Chronicles Book Three", "When Charlie McButton lost power", "Gregor and the Curse of the Warmbloods", "Catching Fire", "12", "Gregor the Overlander"]	["12", "When Charlie McButton lost power", "Gregor the Overlander", "The Hunger Games", "Mockingjay", "Gregor and the Code of Claw", "The Hunger Games Trilogy Boxed Set", "Gregor and the Marks of Secret", "FIRE PROOF", "Gregor and the Curse of the Warmbloods", "Catching Fire", "Gregor and the Prophecy of Bane", "The Underland Chronicles Book Three"]
what else has jennifer lawrence played in?	["The Poker House", "The Hunger Games", "Garden Party", "The Burning Plain", "Like Crazy", "Winter\u2019s Bone", "The Beaver", "X-Men: First Class", "Devil You Know", "House at the End of the Street"]	["The Poker House", "Garden Party", "Winter\u2019s Bone", "X-Men: First Class", "The Hunger Games", "The Hunger Games: Catching Fire", "Devil You Know", "Silver Linings Playbook", "The Beaver", "House at the End of the Street", "X-Men: Days of Future Past", "Serena", "Like Crazy", "The Burning Plain", "Company Town", "American Hustle", "Not Another High School Show"]
what years did joe montana win super bowl?	["Super Bowl XIX"]	["1990 NFL season", "1989 NFL season", "1984 NFL season", "1981 NFL season"]
what language do people from greece speak?	["Albanian language", "Greek Language"]	["Greek Language", "Albanian language"]
who does chris hemsworth have a baby with?	["Elsa Pataky"]	["Elsa Pataky"]
what kind of language does colombia speak?	["Wiwa language", "Uw Cuwa", "Andoque language", "Spanish Language", "Cams\u00e1 Language", "Cogui Language", "Guambiano Language", "P\u00e1ez language", "Arhuaco Language"]	["Spanish Language", "Cams\u00e1 Language", "Arhuaco Language", "Cogui Language", "Andoque language", "U'wa language", "P\u00e1ez language", "Guambiano Language", "Wiwa language"]
who was vice president after kennedy died?	["Lyndon B. Johnson"]	["Lyndon B. Johnson"]
who played darth vader in the first movie?	["David Prowse"]	["James Earl Jones", "Jake Lloyd", "David Prowse", "Sebastian Shaw", "Hayden Christensen", "Matt Lanter", "Robert E. Bean"]
what instruments did louis armstrong play?	["trumpet", "Cornet"]	["Cornet", "Trumpet"]
what movies have robert pattinson in them?	["Eclipse", "Dark Kingdom: The Dragon King", "New Moon", "Remember Me", "How to Be", "Harry Potter and the Order of the Phoenix", "Little Ashes", "Bel Ami", "Twilight", "The Twilight Saga: Breaking Dawn - Part 1"]	["Eclipse", "New Moon", "Twilight", "Remember Me", "The Twilight Saga: Breaking Dawn - Part 1", "The Twilight Saga: Breaking Dawn - Part 2"]
what government did the roman empire have?	["Family dictatorship", "Monarchy", "Autocracy", "Dictatorship"]	["Stratocracy", "Autocracy"]
what is the best zelda game to start with?	["The Legend of Zelda: Ocarina of Time"]	["Nintendo Cereal System"]
what was the cause of death for bruce lee?	["Cerebral edema"]	["Cerebral edema"]
what electorate does anna bligh represent?	["Electoral district of South Brisbane"]	["Electoral district of South Brisbane"]
who does peyton manning play football for?	["Denver Broncos"]	["Denver Broncos"]
where did mitt romney's parents come from?	["Bloomfield Hills"]	["George W. Romney", "Lenore Romney"]
what league are the indianapolis colts in?	["AFC South"]	["National Football League", "AFC South", "American Football Conference"]
what inventions were made by ben franklin?	["Lightning rod", "Franklin stove", "Bifocals", "Glass harmonica"]	["Glass harmonica", "Franklin stove", "Lightning rod", "Bifocals"]
what states share a border with tennessee?	["Virginia"]	["Kentucky", "Mississippi", "Missouri", "Virginia", "Georgia", "Alabama", "North Carolina", "Western North Carolina", "Arkansas"]
what activities are there to do in greece?	["Ionian Islands"]	["Greek drachma"]
where did nat turner 1831 rebellion occur?	["Virginia"]	["Southampton County"]
what type of religion does argentina have?	["Protestantism", "Catholicism", "Judaism"]	["Judaism", "Catholicism", "Protestantism"]
what kind of money do they use in germany?	["Euro"]	["Euro"]
what are the official languages of the eu?	["English Language"]	["Belgium", "Bulgaria", "Croatia", "Finland", "Germany", "Hungary", "Italy", "Luxembourg", "Netherlands", "Poland", "Romania", "Spain", "Slovakia", "United Kingdom", "Sweden", "France", "Austria", "Denmark", "Estonia", "Lithuania", "Slovenia", "Czech Republic", "Greece", "Ireland", "Latvia", "Malta", "Portugal", "Cyprus"]
what book did benjamin franklin published?	["A Dissertation on Liberty and Necessity, Pleasure and Pain", "A letter from Mr. Franklin to Mr. Peter Collinson, F.R.S. concerning the effect of lightning ; A letter of Benjamin Franklin, Esq. to Mr. Peter Collinson, F.R.S. concerning an electrical kite", "A letter of advice to a young man concerning marriage", "A Letter By Dr. Franklin To The Royal Academy Of Brussels", "Apology for printers", "A parable", "The sayings of Poor Richard", "A letter from B. Franklin to a young man", "Address", "America's Big Ben"]	["Poor Richard's Almanac of 1758", "Poor Richard's Almanac of 1739"]
what baseball team was jackie robinson on?	["Brooklyn Dodgers"]	["Brooklyn Dodgers"]
where did aaron rodgers go to high school?	["Pleasant Valley High School"]	["University of California, Berkeley", "Butte College", "Pleasant Valley High School"]
what is the government of france for 2010?	["Constitutional republic"]	["Unitary state", "Constitutional republic", "Semi-presidential system"]
where do american bulldogs originate from?	["United States of America"]	["United States of America"]
what prompted shakespeare to write poetry?	["Thomas More", "Ovid", "Geoffrey Chaucer", "Plutarch", "Terence", "Thomas Kyd", "Plautus", "Michel de Montaigne", "John Pory", "Christopher Marlowe"]	["Christopher Marlowe", "Plutarch", "Terence", "Michel de Montaigne", "Seneca the Younger", "Virgil", "Ovid", "Thomas More", "Thomas Kyd", "Lucian", "Edmund Spenser", "Geoffrey Chaucer", "Plautus", "John Pory"]
what country does justin bieber come from?	["Canada"]	["Canada"]
where is mission san buenaventura located?	["Ventura County"]	["Ventura County", "93001"]
when did charles goodyear invented rubber?	["During the early 1830's he began inventing, filing six patents between 1830 and 1834, and during this period became interested in rubber, which he tried - unsuccessfully - to use in some of his mechanical inventions."]	["Vulcanization", "Improvement in the Art of Preparing Caoutchouc"]
who plays anakin skywalker in star wars 1?	["Jake Lloyd"]	["James Earl Jones", "Jake Lloyd", "David Prowse", "Sebastian Shaw", "Hayden Christensen", "Matt Lanter", "Robert E. Bean"]
what year did super mario bros 2 come out?	["Zilog Z80"]	["Breaking the Law of Miyamoto"]
what are republicans views on health care?	["20003"]	["United States of America"]
who plays robin hood in prince of thieves?	["Kevin Costner"]	["Kevin Costner"]
what language do people from the uk speak?	["Scottish Gaelic language", "Scots Language", "British Sign Language", "Cornish Language", "Esperanto Language", "English Language", "Welsh Language", "Irish"]	["English Language", "Scots Language", "Irish", "Scottish Gaelic language", "Welsh Language", "Cornish Language", "Esperanto Language", "British Sign Language"]
what did the scientist chadwick discovered?	["Neutron"]	["Neutron"]
what other books did charles dickens write?	["The Chimes", "Our Mutual Friend", "The Old Curiosity Shop", "David Copperfield", "A Christmas Carol", "The Cricket on the Hearth", "The Life and Adventures of Nicholas Nickleby", "Hard Times", "Oliver Twist", "A Tale of Two Cities"]	["The Two Apprentices", "Character sketches from Dickens", "George Silverman's Explanation", "Sketches of young couples, young ladies, young gentlemen", "Drinking With Dickens", "The plays and poems", "The story of Our mutual friend; transcribed into phonetic notation from the work of Charles Dickens", "Copperfield", "L'affaire D., ou, Le crime du faux vagabond", "Bible Stories about Growing Up Coloring Book", "Paraxenes istories", "A handy Dickens", "Novels and tales", "Mrs. Gamp", "What Christmas Is As We Grow Older", "Magic Fishbone", "Mudfog And Other Sketches", "Reprinted Pieces", "The Works of Charles Dickens", "Uncollected Writings from Household Words", "C\u00e2ntico de Natal", "A Child's History of England", "The Nile Tributaries of Abyssinia", "Contributions to All the Year Round", "American notes", "Poems and Verses of Charles Dickens", "Somebody's Luggage", "Tales of Mystery & Suspense", "The Lamplighter", "Manuscripts and papers of Charles Dickens from the Forster collection in the Victoria and Albert Museum, London", "Boz on America", "The Dickens theatrical reader", "Old curiosity shop", "Zweisprachig", "The Strange Gentleman", "Le Magasin d'Antiquite; Barnabe Rudge", "The Complete Ghost Stories of Charles Dickens", "St. Martin's Guide to Writing 6e short and Great Expectations", "Critical Tradition 2e and Great Expectations", "Compact Bedford Introduction to Literature 6e and Literature Aloud CD and Great", "Captain Murderer", "27 Classic Short Stories", "The Wreck of the Golden Mary", "Count Ludwig", "Novel Notes", "Perezosos, Los", "Cliffs Complete Great Expectations", "No Thoroughfare", "Oliver Twist", "Hard Times", "Annotated proofs of the works of Charles Dickens", "Barnaby Rudge", "David and Goliath and Other Adventures to Color", "Collected Classics, Vol. 1", "Thackeray the Humorist and the Man of Letters: The Story of His Life and Literary Labours, Including a Selection from His Characteristic Speeches", "The two daughters from ... Martin Chuzzlewit", "Child's Story", "Bedside Dickens", "Il Grillo del Focolare", "Dickens audio boxed set", "Mugby Junction", "Dombey and Son", "Some Christmas Stories", "Great Expectations", "Oliver Twist", "David Copperfield", "The Old Curiosity Shop", "Our Mutual Friend", "A Tale of Two Cities", "Sketches by Boz", "Beautiful Stories About Children", "Personal History, Adventures, Experience, and Observation of David Copperfield, the Younger of Bluderstone Rookery", "Mr Pickwick", "Jenny Wren", "Dominoes", "The Lazy Tour of Two Idle Apprentices", "The Haunted Man and the Ghost's Bargain", "The Mystery of Edwin Drood", "The Life of Our Lord", "Holiday Romance", "The personal history of David Copperfield", "The Pic Nic papers", "Christmas Carol", "Voie sans issue", "Christmas books", "The text of Our mutual friend", "The Pickwick Papers", "Child-Pictures From Dickens", "Bleak House", "Miscellaneous papers from 'The morning chronicle, ' 'The daily news, ' 'The examiner, ' 'Household words, ' 'All the year round, ' etc., and plays and poems", "Complete plays and selected poems of Charles Dickens", "The Life and Adventures of Nicholas Nickleby", "A Christmas Carol", "Master Humphrey's Clock", "The adventures of Oliver Twist", "The Annotated Christmas Carol", "Van Gool's a Christmas Carol", "Household Words, A Weekly Journal", "Comic World of Dickens", "Acorralado y Otros Cuentos", "Dickens' London", "Dossier de la Maison Dombey et Fils; Temps Difficiles", "Aufzeichnungen aus Amerika 1842", "Dealings with the firm of dombey and Son, Wholesale, Retail, and for Exportation", "Dickens Journalism", "The Cricket on the Hearth", "Martin Chuzzlewit", "Little Dorrit", "The Georgics of Vergil", "Doctor Marigold", "Papers by Mr. Yellowplush", "Dramascripts - Great Expectations", "Three Ghost Stories", "[Novels]  Unchanged and unabridged", "Grandma's House Color Book", "Pictures from Italy", "Grosse Erwartungen", "Noah's Ark Coloring Book", "Voyage en Am\u00e9rique", "Perils Of Certain English Prisoners", "De grandes esp\u00e9rances", "Oliverio Twist", "The Old Bachelor", "Children's Classics", "Bardell V. Pickwick", "Oxford Illustrated Dickens", "Barnaby Rudge", "David Copperfield", "The Loving Ballad of Lord Bateman", "The Long Voyage", "The Chimes", "The Battle of Life", "Jungle Book", "The Lock And Key Library", "Sikes and Nancy", "The Haunted House", "The Queen of Hearts", "Treasury of Charles Dickens", "Smike from ... Nicholas Nickleby", "Gone astray", "American notes and Pictures from Italy", "Tiny Tim", "The Newsvendors' Benevolent & Provident Institution", "Is She His Wife? Or Something Singular", "The Frozen Deep", "Las Aventuras de Oliver Twist", "The Works", "Tom Tiddler's Ground", "Tale of 2 Cities/1019", "The Portable Dickens", "The Signalman", "Les grandes esp\u00e9rances", "Ghost Stories", "Cuento de Navidad", "I am Scrooge: A Zombie Story for Christmas", "The Memorable Trial of Bardell Against Pickwick", "Les Conteurs \u00e0 la Ronde", "A Collection Of Letters Of Dickens 1833-1870", "Some Short Christmas Stories", "Spark Notes A Tale of Two Cities", "A Christmas carol : a dramatization", "A December vision", "Pictures from Italy and American notes", "Souvenirs Intimes de David Copperfield; De Grandes Esperances", "A Child's History of of England", "The Oxford Bookworms Library: Stage 5", "Senor Scrooge", "OBWL6: Oliver Twist: Level 6", "The Seven Poor Travellers", "The chimes", "To Be Read At Dusk", "A Child's Dream of a Star", "Editorials and announcements", "Dickens' new stories", "Almacen de antiguedades", "Les tuggs a ramsgate", "Grandes Esperanzas", "Die Pickwickier", "David Copperfield", "Social and Literary Speeches of Charles Dickens", "Captain Boldheart", "The life and adventures of Martin Chuzzlewit", "Pictures from Italy", "Selected Letters of Charles Dickens", "Mrs Lirriper", "Las Campanas", "La Vie et les Aventures de Nicolas Nickleby; Livres de Noel", "Pictures from Italy and American notes for general circulation", "SAT Words from Literature - A Christmas Carol", "The World of Charles Dickens", "The Muppet Christmas Carol", "Florence Dombey from the Dombey and son", "On the origin of Sam Weller", "Ghostly Christmas", "Uncle Ebenezer", "Village Coquettes", "Les Papiers Posthumes du Pickwick-Club; Les Aventures d'Olivier Twist", "[Sam Weller's] Pickwick jest-book", "Nuestro Comun Amigo", "Para Leer Al Anochecer", "The Dickens Trilogy", "Penguin Young Readers Level 4", "The Uncommercial Traveler", "Frankenstein", "Dickens' Dictionary of London 1888", "A Christmas Carol", "The mystery of Edwin Drood, and other stories", "The personal history and experience of David Copperfield the younger", "Charles Dickens's letters to Charles Lever", "Enamorada Del Sospechoso", "Short Stories from the Pickwiock Papers (Bil", "The Unabridged Charles Dickens", "Letters of Charles Dickens to the Baroness Burdett-Coutts", "Dame Durden, little woman from the Bleak house", "The best of all good company", "Un Cuento De Navidad", "The bagman's tales =", "Alle Weihnachtserz\u00e4hlungen", "Great Novels of Charles Dickens", "Ms. Scrooge", "Greetings Books", "Bardell v. Pickwick", "The boy Joe and Samuel Weller from the Pickwick papers", "The Signal-Man", "American Notes", "The Holy-Tree Three Branches", "4 Christmas Volumes", "The D. Case", "Tour of  Two Idle Apprentices. No Thoroughfare. The Perils of Certain English Prisoners", "Memoirs of Joseph Grimaldi", "Good Stories for Great Holidays", "Tiny Tim, Dot and the fairy cricket from the Christmas stories", "Charles Dickens' book of memoranda", "Charles Dickens's Ireland", "A Christmas carol and other Christmas books", "Household words", "Sister Rose", "Urban Sociology", "Dickens' Works", "The Dickens Christian Reader", "Navidad Y Reyes Magos", "England of Dickens", "Selected letters", "A Message from the Sea", "Le grillon du foyer", "Aventures de Monsieur Pickwick, Vol. II", "Oliver Twist", "Dr. Marigold's prescriptions", "Sketches by Boz [pseud.] illustrative of every-day life and every-day people", "The heart of Charles Dickens", "Tale Two Cities/a  Pa", "Truly Great Ghost Stories", "The complete poems of Charles Dickens", "Child-wife from ... David Copperfield", "L'Embranchement de Mugby", "Dialogues from Dickens", "Sketches of young gentlemen", "Literacy World", "Speech of Charles Dickens delivered at Gore house, Kensington, May 10, 1851, printed from the original autograph manuscript", "The Shorter Novels of Charles Dickens (Wordsworth Special Editions)", "The poems and verses of Charles Dickens", "Best Ghost Stories (Wordsworth Classics)", "Tv\u00e5 st\u00e4der", "Barnab\u00e9 Rudge, Tome II", "Mrs. Lirriper's Legacy", "Sketches", "El Velo Negro", "Cliffsnotes Pickwick Papers", "Canci\u00f3n de Navidad", "Old Fritz and the New Era", "The Signalman", "Dickens and the carpenter", "The speeches of Charles Dickens (1841-1870)", "The haunted man and the ghost's bargain", "The life & adventures of Nicholas Nickleby", "Un Canto Di Natale", "The cricket on the hearth; or, a fairy tale of home, a drama, in three acts", "Spirited Yarns", "Insel B\u00fccherei, Nr.89, Die Silvesterglocken", "Petite Dorrit  Conte de Deux Villes", "The Holly-Tree", "Life's Little Handbook of Wisdom Leather Boxed Graduates Ed", "From day to day with Dickens", "Sketches of young couples", "Boys from Dickens", "Dickens to His Oldest Friend", "The Nonesuch Dickens", "The Life of Jesus Coloring Book", "Estampas De Italia", "The Old curiousity shop", "Carol Nadolig", "Life & adventures of Martin Chuzzlewit", "Speeches, Letters and Sayings of Charles Dickens", "The Novels of Charles Dickens", "Chimes, The/Holly Tree, The", "An Old Maid", "DK Read and Listen", "Dickens' working notes for his novels", "A child\u015b history of England", "The Dickens digest"]
what type of music did claude debussy play?	["Ballet", "French opera", "Art song", "Incidental music", "Classical music", "20th-century classical music"]	["Classical music", "Ballet", "Art song", "20th-century classical music", "Ballet", "Incidental music", "French opera"]
what business did andrew carnegie dominate?	["U.S. Steel"]	["Businessperson", "Entrepreneur", "Business magnate"]
where did rick santorum attend high school?	["Carmel High School"]	["University of Pittsburgh", "Pennsylvania State University", "Penn State University, Dickinson School of Law", "Carmel High School"]
when did juventus win the champions league?	["1996 UEFA Champions League Final"]	["1985 European Cup Final", "1996 UEFA Champions League Final"]
what to see and do in vancouver washington?	["Slocum House", "Fort Vancouver", "Fort Vancouver Barracks Officers Row", "Fort Vancouver National Historic Site", "Vancouver National Historic Reserve Historic District", "Officers Row", "House of Providence", "Covington House", "Evergreen Hotel", "Hidden Houses"]	["98686", "98682", "98663", "98683", "98660", "98661", "98664", "98684", "98685", "98662", "98665", "98687", "98668", "98666"]
where does the shannon river start and end?	["Shannon Pot"]	["Shannon Estuary"]
what language group does germany belong to?	["Bavarian Language", "German Language", "Saxon, Upper Language"]	["German Language"]
what are all the countries in north africa?	["Sus al-Aksa", "Rashidun Caliphate", "Ptolemaic Egypt", "Western Roman Empire", "Maghreb", "Sudan", "Ancient Greece", "Ptolemaic Kingdom", "Roman Republic", "Roman Empire"]	["Minya Governorate", "Asyut Governorate", "Faiyum Governorate", "Roman Republic", "Sudan", "Roman Empire", "Rashidun Caliphate", "Al Sharqia Governorate", "Dakahlia Governorate", "Ancient Greece", "Red Sea Governorate", "Al Minufiyah", "Melilla", "New Valley Governorate", "Matrouh Governorate", "High Atlas", "Ceuta", "Qalyubia Governorate", "Aswan Governorate", "Sahara", "Kafr el-Sheikh Governorate", "Gharbia Governorate", "Maghreb", "Qena Governorate", "Sohag Governorate", "Giza Governorate", "Western Roman Empire", "Alexandria Governorate", "Damietta Governorate", "United Arab Republic", "Port Said Governorate", "Cairo Governorate", "Ismailia Governorate", "Ptolemaic Kingdom", "Beheira Governorate", "Suez Governorate", "Caliphate of C\u00f3rdoba", "Luxor Governorate", "Beni Suef Governorate", "Sus al-Aksa"]
what form of government does australia use?	["Parliamentary system", "Federation", "Constitutional monarchy"]	["Constitutional monarchy", "Federal monarchy", "Parliamentary system"]
who plays the role of tony dinozzo on ncis?	["Michael Weatherly"]	["Michael Weatherly"]
when did carolina panthers go to superbowl?	["2003 NFL season"]	["Minnesota Vikings at Carolina Panthers, 2009-12-20", "Denver Broncos at Carolina Panthers, 2008-12-14", "Chicago Bears at Carolina Panthers, 2008-09-14", "Arizona Cardinals at Carolina Panthers, 2009-01-10", "Philadelphia Eagles at Carolina Panthers, 2009-09-13", "Detroit Lions at Carolina Panthers, 2008-11-16", "Tampa Bay Buccaneers at Carolina Panthers, 2009-12-06", "Buffalo Bills at Carolina Panthers, 2009-10-25", "Washington Redskins at Carolina Panthers, 2009-10-11", "Atlanta Falcons at Carolina Panthers, 2008-09-28", "Miami Dolphins at Carolina Panthers, 2009-11-19", "Kansas City Chiefs at Carolina Panthers, 2008-10-05", "Arizona Cardinals at Carolina Panthers, 2008-10-26", "Tampa Bay Buccaneers at Carolina Panthers, 2008-12-08", "Atlanta Falcons at Carolina Panthers, 2009-11-15", "New Orleans Saints at Carolina Panthers, 2010-01-03", "New Orleans Saints at Carolina Panthers, 2008-10-19"]
what language does people in iceland speak?	["Icelandic Language"]	["Icelandic Language"]
what type of currency do they use in spain?	["Euro"]	["Euro"]
what time is it in texas houston right now?	["Central Time Zone"]	["Wind farm", "Wind Farms"]
what year was kenya moore crowned miss usa?	["Miss USA 1993"]	["Miss USA 1995", "Miss USA 1992", "Miss USA 2001", "Miss USA 2010", "Miss USA 2005", "Miss USA 1994", "Miss USA 1970", "Miss USA 1991", "Miss USA 2012", "Miss USA 2011", "Miss USA 1993", "Miss USA 1960", "Miss USA 1975", "Miss USA 2013"]
who did cristiano ronaldo play for in 2010?	["Real Madrid C.F."]	["Real Madrid C.F."]
what are the beliefs of the roman catholic?	["Jesus Christ", "Paul the Apostle", "Saint Augustine of Hippo"]	["Saturnalia", "Carmentalia", "Vinalia"]
who is my representative in illinois house?	["Richard B. Ogilvie", "Otto Kerner, Jr.", "George Ryan", "Pat Quinn", "Rod Blagojevich", "James R. Thompson", "Jesse White", "Daniel Walker", "Jim Edgar", "Samuel H. Shapiro"]	["Ray LaHood", "Abraham Lincoln", "Thaddeus Jones", "Joshua White", "Ann Williams"]
what other movies has ryan gosling been in?	["The United States of Leland", "Half Nelson", "The Slaughter Rule", "Stay", "Lars and the Real Girl", "The Believer", "Fracture", "Murder by Numbers", "The Notebook", "All Good Things"]	["Fracture", "Lars and the Real Girl", "Crazy, Stupid, Love.", "Only God Forgives", "Remember the Titans", "The Believer", "The Notebook", "Nothing Too Good for a Cowboy", "Blue Valentine", "Stay", "Drive", "The Ides of March", "The Place Beyond the Pines", "All Good Things", "Murder by Numbers", "Gangster Squad", "Half Nelson", "I'm Still Here: Real Diaries of Young People Who Lived During the Holocaust", "The Slaughter Rule", "The United States of Leland", "Lawless", "Logan's Run", "Untitled Terrence Malick project", "Drunk History Christmas"]
where did charles darwin and his wife live?	["Downe, Kent", "England", "London", "Shrewsbury"]	["England", "London", "Shrewsbury", "Downe, Kent"]
where can you go on eco holidays in the uk?	["World Bank, World Development Indicators, Life Expectancy"]	["United States of America", "Florida", "Manatee County"]
what events lead to the battle of antietam?	["Maryland Campaign", "American Civil War"]	["Battle of Chapultepec", "Battle of Churubusco", "Revolt of the Polkos", "1968 Summer Olympics", "Battle for Mexico City", "1968 Olympics Black Power salute", "Spanish reconquest attempts in Mexico", "1974 FIVB Men's Volleyball World Championship", "Fall of Tenochtitlan", "Volleyball at the 1955 Pan American Games", "Volleyball at the 1975 Pan American Games", "Battle of Molino del Rey", "Battle of Contreras"]
where was jesus after he died on the cross?	["Church of the Holy Sepulchre"]	["Calvary"]
what type of art did raphael sanzio create?	["Painting", "Drawing"]	["Painting", "Drawing"]
what is the zip code for newark california?	["94560"]	["94560"]
what is the most common language in norway?	["Norwegian Language"]	["Norwegian Language", "Bokm\u00e5l", "Nynorsk"]
what countries have territories in oceania?	["Northern Mariana Islands", "Norfolk Island", "Guam", "American Samoa", "New Caledonia", "Marshall Islands", "Kiribati", "Nauru", "Fiji", "Cook Islands"]	["Location of ceremony", "To", "From"]
what was the name of henry viii first wife?	["Catherine of Aragon"]	["Catherine Parr", "Anne of Cleves", "Catherine of Aragon", "Jane Seymour", "Anne Boleyn", "Catherine Howard"]
what stones albums did mick taylor play on?	["A Stone's Throw", "Too Hot For Snakes", "Stranger in This Town", "Little Red Rooster", "Arthur's Club-Geneve 1995", "Keepin It Real", "Mick Taylor"]	["Mick Taylor", "A Stone's Throw", "Stranger in This Town", "Little Red Rooster", "Arthur's Club-Geneve 1995", "Keepin It Real", "Too Hot For Snakes"]
what all movies has taylor lautner been in?	["New Moon", "He's a Bully, Charlie Brown", "Eclipse", "Cheaper by the Dozen 2", "Incarceron", "The Adventures of Sharkboy and Lavagirl", "Dear Eleanor", "Abduction", "Shadow Fury", "Field of Dreams 2: Lockout"]	["Eclipse", "New Moon", "The Adventures of Sharkboy and Lavagirl", "Incarceron", "Valentine's Day", "Grown Ups 2", "Twilight", "Cheaper by the Dozen 2", "The Twilight Saga: Breaking Dawn - Part 1", "Abduction", "Field of Dreams 2: Lockout", "The Twilight Saga: Breaking Dawn - Part 2", "Shadow Fury", "He's a Bully, Charlie Brown", "The Nick and Jessica Variety Hour", "Tracers", "Northern Lights"]
what is the currency of the czech republic?	["Czech koruna"]	["Czech koruna"]
what did stephen hawking become famous for?	["Author", "Mathematician", "Professor", "Writer", "Cosmologist", "Physicist", "Actor", "Astronomer", "Scientist", "Science writer"]	["Professor", "Actor", "Physicist", "Scientist", "Writer", "Author", "Science writer", "Mathematician", "Astronomer", "Cosmologist"]
